Career_Type,Job Postings Count,Valid Salary Entries,Mean Salary ($),Median Salary ($),Minimum Salary ($),Maximum Salary ($),Standard Deviation ($)
AI Career,28310,11713,133344.66,130500.0,23585.0,500000.0,43401.01
Non-AI Career,44188,19095,108512.87,102500.0,15860.0,500000.0,43552.64
